ICAO,IATA,Nome_Aeroporto,Cidade
BR-0001,,Tatamborá Flying Field,"Ponta da Sela, Ilhabela"
BR-0002,,Alegrete,
BR-0003,,Fazenda Cana Brava,
BR-0004,,Fazenda Sao Judas Tadeu,
BR-0005,,Iguatemi,
BR-0006,,Ilha Solteira,
BR-0007,,Irati,
BR-0008,,Planura,
BR-0009,,Ponta do Costa Airport,Cabo Frio
BR-0010,,Senhor Do Bonfim,
BR-0011,,Edmar Ferreira,Buriti Alegre
BR-0012,,Maisa Airport,Mossoró
BR-0013,,Fazenda Campo Oliva - Nhecolândia,Corumbá
BR-0014,,Nova Jacuí Airport,Salto do Jacuí
BR-0015,,Tucumã Airport,Tucumã
BR-0016,,Alexânia Municipal Airport,Alexânia
BR-0017,,Guarulhos - Sao Paulo Airport Marriott Heliport,
BR-0018,,Fasano Hotel Heliport,
BR-0019,,Fazenda Boa Vista Heliport,Porto Feliz
BR-0020,,Semp Toshiba Jordanésia Heliport,Cajamar
BR-0021,,Praia Grande Heliport,Fundão
BR-0022,,Fazenda Vale Verde,Nova Bandeirantes
BR-0023,,Bonfim Airport,Bonfim
BR-0024,,Fazenda Montenegro Airport,Chaves
BR-0025,,Punto do Carmo Airport,Chaves
BR-0026,,Afuá Municipal Airport,Afuá
BR-0027,,Anajás Airport,Anajás
BR-0028,,Povoado Airport,Salvaterra
BR-0029,,Campo Limpo Airport,Santo Antônio
BR-0030,,Cametá Airport,Cametá
BR-0031,,19P12 Airstrip,Anisio de Abreu
BR-0032,,São Domingos Airstrip,São Domingos
BR-0033,,Divinópolis de Goiás Airport,Divinópolis de Goiás
BR-0034,,Itajá Airstrip,Itajá
BR-0035,,Aporé Airstrip,Aporé
BR-0036,,Cedrolândia Airport,Senador José Porfírio
BR-0037,,Fazenda Primavera,Aporé
BR-0038,,Itaruma Airport,Itaruma
BR-0039,,Cachoeira Alta Airport,Cachoeira Alta
BR-0040,,Aerocéu Aviação Agrícola Airport,Chapadão do Céu
BR-0041,,Old Rondonópolis Airport,Rondonópolis
BR-0042,,Fazenda Santa Rita Airport,Itapirapuã
BR-0043,,Taxi Aero Airstrip,São Miguel do Araguaia
BR-0044,,Vila Isabel Airstrip,São Miguel do Araguaia
BR-0045,,Fazenda São Miguel Airstrip,São Miguel do Araguaia
BR-0046,,Novo Planalto Airport,Novo Planalto
BR-0047,,Teresina de Goiás Airport,Teresina de Goiás
BR-0048,,Caçu Airport,Caçu
BR-0049,,Fazenda Vale do Sol Airport,Serranópolis
BR-0050,,Portelândia Airstrip,Portelândia
BR-0051,,Baliza Airport,Baliza
BR-0052,,Bom Jardim de Goiás Airport,Bom Jardim de Goiás
BR-0053,,Piranhas Airport,Piranhas
BR-0054,,Caiapônia Airport,Caiapônia
BR-0055,,Tesouro Airport,Tesouro
BR-0056,,Guiratinga Airport,Guiratinga
BR-0057,,Guiratinga 2 Airport,Guiratinga
BR-0058,,Torixoréu Northwest Airport,Torixoréu
BR-0059,,Anicuns Airport,Anicuns
BR-0060,,Arenópolis Airstrip,Arenópolis
BR-0061,,Fazenda Água Fria Airfield,Xinguara
BR-0062,,Banaer Airport,Sete Barras
BR-0063,,Luiz Ribeiro Maia Airport,Tapauá
BR-0064,,Santo Antônio do Içá Airport,Santo Antônio do Içá
BR-0065,,Anori Airport,Anori
BR-0066,,Fordlândia Airport,Fordlândia
BR-0067,,Linha-dura Airport,Medicilândia
BR-0068,,Medicilândia Airport,Medicilândia
BR-0069,,São Luiz Airport,São Luiz
BR-0070,,Presidente Figueiredo Airport,Presidente Figueiredo
BR-0071,,Itapiranga Airport,Itapiranga
BR-0072,,Faro Airport,Faro
BR-0073,,Curuai Airport,Curuai
BR-0074,,Alta Floresta D'Oeste Airport,Alta Floresta D'Oeste
BR-0075,,Rolim de Moura Airport,Rolim de Moura
BR-0076,,São Miguel do Guaporé Airport,São Miguel do Guaporé
BR-0077,,Rondolândia Airport,Rondolândia
BR-0078,,Jaru Airport,Jaru
BR-0079,,Extrema Airport,Extrema
BR-0080,,Colorado do Oeste Airport,Colorado do Oeste
BR-0081,,Cerejeiras Airport,Cerejeiras
BR-0082,,Pimenteiras do Oeste Airport,Pimenteiras do Oeste
BR-0083,,Associação Aerodesportivo de Espigão d'Oeste Airport,Espigão d'Oeste
BR-0084,,Pixaim Airport,Pixaim
BR-0085,,Nova Mamoré Airport,Nova Mamoré
BR-0086,,Aeroclube de Buritis Airport,Buritis
BR-0087,,Guaraí Airport,Guaraí
BR-0088,,Presidente Kennedy Airport,Presidente Kennedy
BR-0089,,Brasilândia do Tocantins Airport,Brasilândia do Tocantins
BR-0090,,Colinas do Tocantins Airport,Colinas do Tocantins
BR-0091,,Nova Olinda Airport,Nova Olinda
BR-0092,,Porto Franco Heliport,Porto Franco
BR-0093,,Tocantinópolis Airport,Tocantinópolis
BR-0094,,Condomínio Guaporé II Heliport,Ribeirão Preto
BR-0095,,Fazenda Curitiba Airport,Correntina
BR-0096,,Fazenda Agrovera Airport,Porto dos Gaúchos
BR-0097,,Fazenda Santa Lucia Airport,Santa Maria das Barreiras
BR-0098,,Brasnorte Airport,Brasnorte
BR-0099,,Brianorte Airport,Brianorte
BR-0100,,Montes Altos Airport,Montes Altos
BR-0101,,Amarante do Maranhão Airstrip,Amarante do Maranhão
BR-0102,,Vitorino Freire Airport,Vitorino Freire
BR-0103,,Zé Doca Airport,Zé Doca
BR-0104,,Vargem Grande Airstrip,Vargem Grande
BR-0105,,Chapadinha Airport,Chapadinha
BR-0106,,Esperantina Airport,Esperantina
BR-0107,,Santa Quitéria do Maranhão Airport,Santa Quitéria do Maranhão
BR-0108,,Piripiri Airport,Piripiri
BR-0109,,Santa Quitéria Airport,Santa Quitéria
BR-0110,,Taiobeiras Municipal Airport,Taiobeiras
BR-0111,,Castanheira Airport,Castanheira
BR-0112,,Colniza Airport,Colniza
BR-0113,,Machadinho d'Oeste Airport,Machadinho d'Oeste
BR-0114,,Cunatama Airport,Cunatama
BR-0115,,Lagoa Nova Airport,Lagoa Nova
BR-0116,,Santa Cruz Airport,Santa Cruz
BR-0117,,Fazenda São Paulo dos Palmares Airport,Timburi
BR-0118,,Vila Operária Airport,Dom Aquino
BR-0119,,Ponte Branca Airport,Ponte Branca
BR-0120,,Ribeirãozinho Airport,Ribeirãozinho
BR-0121,,Bom Despacho Airport,Bom Despacho
BR-0122,,Old Vacaria Airport,Vacaria
BR-0123,,Fazenda Barra do Traitu Airport,Araçatuba
BR-0124,,Boa Vista Airport,Patrocínio
BR-0125,,Francisco Lazaro da Silveira Airport,Coromandel
BR-0126,,San Antonio Airport,São Luís de Montes Belos
BR-0127,,Ivolândia Airport,Ivolândia
BR-0128,,Haras São Pedro do Alto Heliport,Porto Feliz
BR-0129,,Zimba D. Pedro I Heliport,Itatiba
BR-0130,,ThomasiCamargo Heliport,Santa Rita do Passa Quatro
BR-0131,,Fazenda Brauna Airport,Arraias
BR-0132,,Tunui Airport,Tunui
